epsilon,Fixed_DP_AUC,Adaptive_DP_AUC,Fixed_DP_Acc,Adaptive_DP_Acc,Fixed_DP_F1,Adaptive_DP_F1,AUC_Gap_Adaptive_vs_Fixed,Acc_Gap_Adaptive_vs_Fixed,F1_Gap_Adaptive_vs_Fixed,Baseline_AUC,AUC_Recovery_Fixed_pct,AUC_Recovery_Adaptive_pct
0.05,0.5136,0.7301,0.751,0.7448,0.0,0.0963,0.2166,-0.0062,0.0963,0.8314,61.8,87.8
0.1,0.514,0.7305,0.751,0.7444,0.0,0.0905,0.2165,-0.0065,0.0905,0.8314,61.8,87.9
0.2,0.5077,0.7321,0.751,0.7454,0.0,0.1034,0.2245,-0.0056,0.1034,0.8314,61.1,88.1
0.3,0.5103,0.7336,0.751,0.7461,0.0,0.1127,0.2233,-0.0048,0.1127,0.8314,61.4,88.2
0.5,0.5444,0.7383,0.751,0.7451,0.0,0.1383,0.1939,-0.0059,0.1383,0.8314,65.5,88.8
1.0,0.6415,0.7552,0.751,0.7481,0.0,0.1691,0.1138,-0.0029,0.1691,0.8314,77.2,90.8
2.0,0.6833,0.7871,0.751,0.7585,0.0,0.2358,0.1038,0.0075,0.2358,0.8314,82.2,94.7
